user_id,isbn
21,3719018792; 9783719018795 9782917738962; 2917738960 9782330070748; 2330070748 9782880494469; 288049446X 9783725585236; 3725585237 9782021483468; 2021483460 9782367322582; 2367322589 9782940673315; 2940673314 9782070144136; 2070144135 9782889153749; 2889153746
22,9782412069387; 2412069387 9782070145973; 2070145972 9782856083895; 2856083897 3719015297; 9783719015299 9782708409064; 2708409069 9782234093690; 2234093694 9783125163584; 3125163587 9782070139231; 2070139239 9782130544074; 213054407X 9782330165475; 2330165471
23,9782067256132; 2067256130 9782806105943; 2806105943 9782707157119; 2707157112 9782271130501; 2271130506 9782317028977; 2317028970 9782344054062; 2344054065 9788806237417; 8806237411 9782711629695; 2711629694 3764311177; 9783764311179 9783725587773; 3725587779
24,nan 9782503522814; 2503522815; 9782503522821; 2503522823 2091819212; 9782091819211 9782294715846; 2294715845 9782900175095; 2900175097 nan 9782494136137; 249413613X 9782889280520; 2889280527; 9783035802276; 3035802270 3727251840; 9783727251849 9782221258613; 2221258614
25,0714890626; 9780714890623 9782761357463; 2761357469 9782226481795; 2226481796 9782415002961; 2415002968 9791034908189 9782846812955; 2846812950; 9782846813426; 2846813426; 9782912464491; 2912464498; 9782846810302; 2846810303 9782075126939; 2075126933 9782374253572; 2374253570 9782702187548; 2702187544 2889301095; 9782889301096
26,9791032102190 9782035915825; 2035915821 9782505082682; 2505082685 9782385020026; 2385020025 9791037507181 9782746748040; 2746748045 9782203047730; 2203047739; 9782203068803; 2203068809; 9782203074040; 2203074043; 9782203078482; 2203078480; 9782203078499; 2203078499; 9782203083592; 220308359X; 9782203090941; 2203090944; 9782203090958; 2203090952; 9782203102859; 2203102853; 978220312620 2051016763; 9782051016766 9782723471626; 2723471624 9782828916404; 2828916405
27,9782415002831; 2415002836 9782882506771; 2882506775 9782811633165; 2811633162; 9782811633172; 2811633170; 9782811637804; 281163780X; 9782811637811; 2811637818; 9782811640873; 2811640878; 9782811642433; 2811642439 9791040114994 9782492926273; 2492926273 0300021011; 9780300021011 9791021038165 9782021072952; 2021072959 9782725640105; 2725640105 9782294774836; 2294774833
28,294011062X; 9782940110629 9782853276672; 2853276678 9788804562368; 8804562366; 9788804562382; 8804562382; 9788804583530; 8804583533; 9788804583547; 8804583541; 9788804594116; 880459411X 2916063145; 9782916063140; 9782916063225; 2916063226 9782348057373; 2348057379 9782367510071; 2367510075 9782889601318; 2889601315 9780714896748; 0714896748 9782011400673; 2011400678 2742728031; 9782742728039
29,nan 9782246827269; 2246827264 2130426026; 9782130426028 9782711623662; 2711623661; 9782711624478; 2711624471 2378961529; 9782378961527 nan 9782765018599; 2765018596 9782264058256; 2264058250 9782715417939; 2715417934 9782408019006; 2408019001; 9782408020125; 2408020123; 9782408034887; 2408034884; 9782408034900; 2408034906
30,9783725587575; 3725587574 9791032102381 9782343240633; 2343240639 2850470651; 9782850470653 9782828919702; 2828919706 9782020219495; 2020219492 9782266249621; 2266249622 9782207123676; 2207123677 9782379221811; 2379221812 9782940675005; 2940675007
31,9782889410088; 2889410080; 9782880493820; 288049382X 9791037020208 9782752912473; 2752912471 2081410699; 9782081410695 9782842451202; 2842451201 9782707190949; 2707190942 9782080236760; 2080236768 2910030563; 9782910030568; 2910030571; 9782910030575; 2910030601; 9782910030605; 291003061X; 9782910030612; 2910030695; 9782910030698; 2910030709; 9782910030704; 2910030725; 9782910030728; 2910030733; 9782910030735 9782081293953; 2081293951 9782377540662; 237754066X
32,9782253083931; 2253083933 9782350787077; 2350787079; 9782350787923; 2350787923; 9782350788364; 2350788369; 9782350789293; 2350789292; 9782350789606; 2350789608; 9782818901731; 2818901731; 9782818903193; 281890319X 9782011550910; 2011550912 2205208152; 9782205208153 9782070416219; 2070416216 9782842219390; 2842219392 9782749954875; 2749954878 9782259221863; 2259221866 9791020911117 9782828918675; 282891867X
33,3727210044; 9783727210044 9791033914310 9782501149679; 250114967X 9782822903103; 2822903107 9782317033070; 2317033079 9782036021747; 2036021743 2710142465; 9782710142461 9782017249863; 2017249866 2070119645; 9782070119646; 2072719100; 9782072719103 9782221260821; 2221260821
34,9782760526433; 2760526437 8838945241; 9788838945243 9791034909230 9782724616552; 2724616553 9782413048176; 2413048170; 9782413048183; 2413048189; 9782413078678; 2413078673; 9782413080633; 2413080635; 9782413080640; 2413080643 9781119077725; 1119077729 2012351131; 9782012351134 9789082118254; 9082118254 nan 9782271075079; 2271075076
35,9782203216563; 2203216565 2891301668; 9782891301664; 2711411117; 9782711411115 9782340065604; 2340065607 9782765050087; 2765050082 9782738126801; 2738126804 2884130950; 9782884130950 9782413022213; 241302221X; 9782413036715; 2413036717 9782330124618; 2330124619 9782365495912; 2365495915 9782226445612; 2226445617
36,9782874265051; 2874265055 nan 9782070119936; 2070119939 9782100798773; 2100798774 9782869611535; 2869611536 9782294764219; 2294764218 9782844142535; 2844142532; 9782844143952; 2844143954; 9782844144614; 2844144616 9782226445605; 2226445609 9782370210371; 2370210370 2700012100; 9782700012101
37,2882953453; 9782882953452 9783727246203; 3727246200; 9783727246210; 3727246219; 9783727246463; 3727246464 9788857234724; 885723472X 2852036339; 9782852036338 9782330154530; 2330154534 9782701180960; 2701180961 9782840509356; 2840509350 2227135190; 9782227135192 2601031964; 9782601031966; 2704008736; 9782704008735; 2760617165; 9782760617162 2374350371; 9782374350370
38,2390220282; 9782390220282 9782828921453; 282892145X 9782036052468; 2036052460 9783727223648; 3727223642 9782709669511; 270966951X 9782067245051; 2067245058 9782072730030; 2072730031 9782757424643; 2757424645 9782750912581; 275091258X 9782803670086; 2803670089
39,9782812616730; 2812616733 9782889011742; 2889011747 9782226461506; 2226461507 9782761926959; 2761926951; 9782761915960; 2761915968 9782271124180; 2271124182 9782200633752; 2200633750 9782012388390; 2012388396 9782067256873; 2067256874 9782717872545; 271787254X 9783952510148; 3952510149; 9783952545805; 3952545805
40,9782344048832; 2344048839; 9782344054468; 2344054464 0527318957; 9780527318956 9782761396943; 2761396944 9782895687429; 2895687420 9782889010691; 2889010694 9782344007297; 2344007296; 9782344013618; 234401361X 9782340048034; 2340048036 9782072980084; 2072980089 9782877670098; 2877670090 9782709636612; 2709636611
41,9783126050555; 3126050557 9782410015300; 2410015301 9782940365227; 2940365229 235461165X; 9782354611651 9782832111482; 2832111483 9782200633844; 220063384X 9782369903093; 2369903090 2867463238; 9782867463235 2606008898; 9782606008895 2881970419; 9782881970412
42,nan 9782366248227; 2366248229 9782355920066; 2355920060; 9782355920165; 2355920168; 9782355920264; 2355920265; 9782355920370; 2355920370; 9782355920455; 2355920451; 9782355920530; 2355920532; 9782355920752; 2355920753; 9782355920875; 2355920877; 9782355921155; 2355921156; 978235592199 9782919242641; 2919242644; 9782919242818; 2919242814; 9782901000143; 2901000142; 9782901000600; 2901000606; 9782383871002; 2383871001 2200263333; 9782200263331 9782412059227; 2412059225 9782702189849; 2702189849 9782889086405; 2889086402 9791090398900 9782385020026; 2385020025
43,9782321015161; 2321015160 0008280681; 9780008280680 9782317033070; 2317033079 9782714453822; 2714453821 9782416008115; 2416008110 2070727416; 9782070727414 9782246832720; 2246832721 9782925114154; 2925114156 9782853999625; 2853999629 9782889322497; 2889322491; 9782889322664; 2889322661; 9782889322800; 2889322807; 9782889322817; 2889322815
44,9782847208153; 2847208151 9782889011599; 2889011593 9782070299737; 2070299732 9782606014230; 2606014235 2081479389; 9782081479388 nan 9782017140276; 2017140279 2020006103; 9782020006101 9782081359635; 2081359634 9782606015732; 2606015738
45,9782970046769; 2970046768 9782881085161; 2881085164 9782070319022; 2070319024 9782820335326; 2820335322; 9782820335470; 2820335470; 9782820335630; 2820335632; 9782820335746; 2820335748; 9782820335906; 282033590X; 9782820337719; 2820337716; 9782820337856; 2820337856; 9782820338051; 2820338054; 9782820338228; 2820338224; 978282033840 2716317798; 9782716317795 2894740557; 9782894740552 2895073600; 9782895073604 2804138275; 9782804138271 9782375543696; 2375543696 9783909676545; 3909676545
46,9788419220561; 8419220566 9782081500419; 2081500418 9782413039600; 2413039600 nan 9782606018535; 2606018532 9783727272363; 3727272368; 9782880495350; 2880495350 9782737368561; 2737368561 9782606017378; 2606017374 9782735124404; 2735124401 9782600063289; 2600063285
47,2070729680; 9782070729685 9782970108825; 2970108828 9782816195279; 2816195279 nan 9782226478108; 2226478108 2262072167; 9782262072162 9782364371279; 2364371279 9782742463022; 274246302X 9782355221422; 2355221421 2714304222; 9782714304223
48,9782415001360; 2415001368 9782889085774; 2889085775 9783909676729; 3909676723 9782737367502; 2737367506 9782072881862; 2072881862 9782841728992; 2841728994; 9791036000072; 9791036000119; 9791036000256; 9791036000546; 9791036000843 9782940721108; 2940721106 9782884749541; 2884749543 9782889730155; 2889730158 2881460763; 9782881460760
49,9783727270871; 372727087X 3727246677; 9783727246678 9782226453464; 2226453466 2209055318; 9782209055319 9783727210273; 3727210273 9783725585601; 3725585601 9783719042448; 3719042448 9782359251586; 2359251589 2020136112; 9782020136112 9782257206459; 2257206452
50,9782377292226; 2377292224 8843543997; 9788843543991 9782818708828; 2818708826 9782889085934; 2889085937 9782742779284; 2742779280 9782021092905; 2021092909 9782743647346; 2743647345 9782356740915; 2356740910 9782889154326; 2889154327 9782036041431; 2036041434
51,9782072894893; 2072894891 9782803676231; 2803676230 9788853009111; 885300911X 9782874265051; 2874265055 9782378783761; 2378783760; 9791038200524; 9791038202207; 9791038202511; 9791038204027; 9791038204287 9782765073567; 2765073562 9782344056356; 2344056351 9782226478481; 2226478485 9780714875637; 0714875635 9783719024772; 3719024776
52,9782130825364; 2130825362 9782848410777; 2848410779 2200611978; 9782200611972 9782365495196; 2365495192 9782348080272; 2348080273 9782373091014; 2373091011 9783725556403; 3725556407 nan 9782880749729; 2880749727 9782264033604; 2264033606
53,9782290041000; 2290041009 9782384923601; 2384923609 9782883510715; 2883510717 9783725309344; 3725309345 2070532283; 9782070532285 2091911259; 9782091911250 9782753548855; 2753548854 9782330173135; 233017313X 9782845805279; 2845805276; 9782845805286; 2845805284; 9782845805293; 2845805292; 9782845805309; 2845805306; 9782845805316; 2845805314; 9782845805323; 2845805322; 9782845805330; 2845805330; 9782845805347; 2845805349 237731046X; 9782377310463
54,nan 9782707320483; 270732048X 9791040403869 9782378561130; 237856113X 2738476201; 9782738476203 9782340045972; 2340045975 9782765053613; 2765053618 9782358731195; 2358731196; 9782358731201; 235873120X; 9782358731218; 2358731218 9782725635170; 2725635179 9782606018863; 2606018869
55,9782221260265; 2221260260 nan 288351030X; 9782883510302 nan 3856371524; 9783856371524 9788889854594; 8889854596 2864322307; 9782864322306 9791037022127 9782070450787; 2070450783 2711821609; 9782711821600; 2711821765; 9782711821761; 2711821773; 9782711821778
56,9782940675067; 2940675066 9782383611301; 2383611301 9782889500284; 2889500284 9782265155657; 2265155659 9782606019815; 2606019814; 9782606019822; 2606019822; 9782606019839; 2606019830 2080122355; 9782080122353 9782226486523; 2226486526 8811003083; 9788811003083 9782330191122; 233019112X 9782412076712; 2412076715
57,0451494644; 9780451494641; 0593663578; 9780593663578 9782100761753; 2100761757 9782760539051; 2760539059 9782940570850; 294057085X 9791095772873 9782881461507; 2881461506 9782207164860; 2207164861 9782221218563; 2221218566 9791028523169 9782205089097; 2205089099
58,9782749267432; 2749267439 9782745321046; 2745321048; 9782745324719; 2745324713; 9782745329479; 2745329472; 9782745348340; 2745348345 9782017218234; 2017218235 9782413008033; 2413008039; 9782413025030; 2413025030 9782940645084; 2940645086 9782021476101; 2021476103 9782849532263; 2849532266 9782701148212; 2701148219 9782257205520; 2257205529 9782100832910; 2100832913
59,nan 2130396984; 9782130396987 2601031654; 9782601031652 nan 9782283036532; 2283036534 9788419220561; 8419220566 9782213717081; 2213717087 9782067244801; 2067244809 887119960X; 9788871199603 9782294768026; 2294768027
60,nan 9782501140607; 2501140605 9782330161903; 2330161905 2729604359; 9782729604356 9782754830072; 2754830073 9782070342341; 2070342344 9791036336201; 9791036336218; 9791036340529 2020006103; 9782020006101 9782311662085; 2311662082 372554638X; 9783725546381
61,9783447058506; 3447058501; 9783447111560; 3447111569 9782070755899; 2070755894 9782761398510; 2761398513 9782268108582; 2268108589 9782807300194; 2807300197 9782807320758; 2807320759 2251001603; 9782251001609 9782828919184; 2828919188 2213716552; 9782213716558 9782080411792; 2080411799
62,9782889601318; 2889601315 2708253751; 9782708253759 9782100807451; 2100807455 3725588619; 9783725588619 9782940501601; 2940501602 2743305169; 9782743305161 9782889152315; 2889152316 nan 9782130591863; 2130591868 9782940454105; 2940454108
63,nan 9782921707275; 2921707276 9782884851053; 2884851054 2070704440; 9782070704446 9782348046230; 2348046237 9782885002621; 288500262X 9782067257801; 2067257803 0141439734; 9780141439730 9783124165114; 312416511X 9782505070405; 2505070407
64,9782226463555; 2226463550 9782081486980; 2081486989 9782017218234; 2017218235 9782754111317; 275411131X 9782354800994; 2354800991 9783909676767; 3909676766 9782832110195; 2832110193 9783727207372; 372720737X 9782916571690; 2916571698 nan
65,9782804190682; 2804190684; 9782804190699; 2804190692; 9782804190828; 280419082X; 9782765033578; 2765033579; 9782765035466; 2765035466; 9782765037262; 2765037264 2889153029; 9782889153022 9782710370765; 271037076X; 9782710370840; 2710370840; 9782710370666; 2710370662 288256063X; 9782882560636 9782012101340; 2012101348 9782369813828; 2369813822 9782415003968; 2415003964 9782355221101; 2355221103 9782379221880; 237922188X 9782360756865; 2360756869
66,9782021076769; 2021076768; 9782021076776; 2021076776; 9782021076783; 2021076784 9782371000957; 2371000957 9783037518014; 3037518014 0807607355; 9780807607350 9782224032777; 2224032773 9782889500901; 288950090X 9782746742406; 2746742403 9783725585694; 3725585695 nan 3905278626; 9783905278620
67,2070118487; 9782070118489; 2070117022; 9782070117024; 2070117030; 9782070117031; 9782070117048; 2070117049; 9782070117055; 2070117057 9782804170387; 2804170381 280280006X; 9782802800064 9782203192393; 2203192399 9782072790416; 2072790417 2070406660; 9782070406661; 2070406679; 9782070406678; 2070406687; 9782070406685 294031814X; 9782940318148 9782221240359; 2221240359 9782501122405; 2501122402 9782818058916; 2818058910
68,9782756038698; 2756038695 9782020950237; 2020950235 2829000935; 9782829000935 9782380822496; 2380822492 9791037502643; 9791037504661 9783727219597; 3727219599 nan 9782260055518; 2260055516 9782749172361; 2749172365 9782710125693; 2710125692
69,9782363583895; 2363583892 9782709671200; 2709671204 nan 9782882840653; 2882840659 9781914502064; 191450206X; 9781908745903; 1908745908 9782205202427; 2205202421 213041379X; 9782130413790 3727289244; 9783727289248 2760706230; 9782760706231; 9782761643078; 2761643070 2869300980; 9782869300989
70,9782260055938; 2260055931 9782383612353; 2383612359 9782072929410; 2072929415 9782227497993; 2227497998 2490329111; 9782490329113 9782803625437; 2803625431; 9782803625932; 2803625938; 9782803626670; 2803626675; 9782803626786; 2803626780; 9782803627431; 2803627434; 9782803670185; 2803670186 9782735508280; 2735508285 2070761673; 9782070761678; 2711843866; 9782711843862 9782882959607; 2882959605 9780262039734; 0262039737
71,2020006103; 9782020006101 9783447044486; 3447044489; 9783447045643; 3447045647; 9783447053730; 3447053739; 9783447057844; 344705784X; 9783447062770; 3447062770; 9783447101653; 3447101652 9783727231650; 3727231653 9782717861198; 271786119X 9783725588732; 3725588732 9788871581408; 8871581407 9782757886830; 2757886835 9783126050494; 3126050492 9782743657130; 2743657138 9782764023068; 2764023065
72,2911220137; 9782911220135; 9782911220241; 2911220242; 9782911220340; 291122034X; 9782911220845; 2911220846 9782204090247; 2204090247 0849902002; 9780849902000; 0849902010; 9780849902017 9782246815792; 2246815797 9782257205957; 2257205952 2720200522; 9782720200526 9782378782979; 2378782977; 9782352079705; 2352079705; 9782378781804; 2378781806 9782600014526; 2600014527 9782940645190; 2940645191 9782492926204; 2492926206
73,9782708254022; 2708254022 nan 9782714453822; 2714453821 9782211057714; 2211057713 9782330057855; 2330057857 9782080245885; 2080245880 9782889011469; 2889011461; 9782889011636; 2889011631 9782849469507; 2849469505; 9782302000926; 2302000927; 9782302031425; 2302031423; 9782302053915; 2302053915 2890777944; 9782890777941 9782130569008; 2130569005
74,9782410015300; 2410015301 9782212557909; 2212557906 9782828919566; 2828919560 9782368521465; 2368521461; 9782368521472; 236852147X; 9782368522691; 2368522697; 9782368522707; 2368522700; 9782368523971; 2368523979 9782350877891; 2350877892 9782729865306; 2729865306 9782350175287; 2350175286 9782845800670; 2845800673; 9782845801158; 2845801157; 9782845801233; 2845801238; 9782845801448; 2845801440; 9782845801554; 2845801556; 9782845801561; 2845801564; 9782845801943; 2845801947; 9782845802001; 2845802005; 9782845802155; 2845802153; 978284580247 9782710143833; 2710143836 9782804164874; 280416487X
75,9782606021597; 2606021592 2090339721; 9782090339727 9782234092570; 2234092574 9782247162543; 2247162541 0435900013; 9780435900014 2606004647; 9782606004644 9782714313157; 2714313159 9782756090863; 2756090867 9782330005153; 2330005156 9782070297795; 2070297799
76,9782889501144; 2889501140 9782749263595; 274926359X 9783719030094; 3719030091 9782384820498; 2384820494 9782213637785; 2213637784 9782878681536; 2878681533; 9782878681512; 2878681517; 9782878681529; 2878681525 9782845979642; 2845979649 9782839914345; 2839914344 9782221255698; 2221255690 9782352045939; 2352045932
77,3727235314; 9783727235313 9782072924859; 2072924855 9783725561322; 372556132X 9783725555932; 3725555931 2251430156; 9782251430157 nan 9782907571647; 2907571648; 9788836625727; 883662572X 9782889012541; 2889012549 2070732118; 9782070732111 9782021406474; 2021406474
78,2020396467; 9782020396462 9782757840214; 2757840215 9782379221590; 2379221596 9780192842695; 0192842692 9782213711744; 2213711747 9782379313578; 2379313571 9782020906777; 2020906775 2869300980; 9782869300989 9782889442102; 2889442101 9782221096819; 2221096819
79,2344050566; 9782344050569 9783858816832; 3858816833 9782070306428; 2070306429 9782748537864; 2748537866 9782889154975; 2889154971 9782707142931; 270714293X 9782100849789; 2100849786 3905313456; 9783905313451 9791094060247 9782746747371; 2746747375
80,9782340075405; 2340075408 9782729617981; 2729617981 9782882502605; 2882502605 9782070459742; 2070459748 288419018X; 9782884190183 9782815319812; 2815319810 9783775744133; 3775744134; 9783775744140; 3775744142 9782374252964; 2374252965 9782749950631; 2749950635 9782213631158; 2213631158
81,9782849220634; 2849220639 9782382880296; 2382880295; 9782382880302; 2382880309; 9782382880319; 2382880317; 9782382880326; 2382880325; 9782382880333; 2382880333; 9782382880791; 2382880791; 9782382880913; 2382880910; 9782413075424; 2413075429; 9782413076469; 2413076468; 978238288210 9782070363322; 2070363325 3484312017; 9783484312012 9782832111772; 2832111777 9782970136668; 297013666X 9783725586868; 3725586861 9782080431202; 208043120X 9782804133313; 2804133311 2251010785; 9782251010786; 225111078X; 9782251110783; 2251013148; 9782251013145; 2251113142; 9782251113142
82,9782258202351; 2258202353 nan nan 9782070402670; 2070402673 9782849221273; 2849221279 9782749276571; 2749276578 9782016281949; 2016281944 9782748537864; 2748537866 9782205208023; 2205208020 9782203231337; 2203231335
83,9783280074381; 328007438X 9782828914783; 282891478X 2021469573; 9782021469578 9783725563036; 3725563039 9782702188323; 270218832X 9782401059405; 2401059407 9783727231322; 3727231327 9782091725284; 2091725285 nan 9782226445612; 2226445617
84,9782226445797; 222644579X 9782889500154; 2889500152 9782703312895; 270331289X 8876940340; 9788876940347 9782226462015; 2226462015 2829001508; 9782829001505 3822822140; 9783822822142 9782204155960; 2204155969 2344044779; 9782344044773 201235713X; 9782012357136
85,9782355848384; 2355848386 9780674980389; 0674980387; 9780674984363; 0674984366 9791040111108 9782710124344; 2710124343 9791035203863 9782715411692; 2715411693 2707313726; 9782707313720 9782081220201; 2081220202 9782765025726; 276502572X 9782021004076; 2021004074
86,9782940641376; 2940641374 9782804156138; 2804156133 9782021513202; 2021513203 nan 9782226455741; 2226455744 9783037977927; 3037977922 9782016266458; 2016266457 9782051027458; 2051027455 9782016267301; 2016267305 9782889011315; 2889011313
87,9782742463022; 274246302X 9782350878492; 235087849X 9789607905321; 9607905326; 9789607905338; 9607905334; 9789607905314; 9607905318 9788806244422; 8806244426 9782204143455; 2204143456 2081479389; 9782081479388 9782710144519; 2710144514 9791027904570 9782883510814; 2883510814 9782095003517; 2095003519
88,9782757303818; 2757303813 9782221258934; 2221258932 2227020199; 9782227020191 9782761932196; 2761932196 9782757857809; 2757857800 9782846703017; 2846703019 2850259780; 9782850259784 2019466139; 9782019466138 9782090319934; 2090319933 9791028527099
89,9791021026124 nan 9782849532263; 2849532266 9783257228120; 3257228120 9782091651828; 2091651826 nan nan 9782369903062; 2369903066 9782707189592; 2707189596 9782266270854; 2266270850; 9782266270861; 2266270869; 9782266270878; 2266270877; 9782266296960; 2266296965; 9782266304832; 2266304836
90,2020136147; 9782020136143 9782070363322; 2070363325 0714893714; 9780714893716 2709620480; 9782709620482 9782804163235; 2804163237 9782070360024; 2070360024 9781838667337; 1838667334 9782889273911; 2889273911 2825102962; 9782825102961 9791029509667
91,9782374485430; 2374485439 9783719025526; 3719025527 2829000250; 9782829000256 9791020909381 9782130559092; 2130559093 9782081278028; 2081278022 9782603025987; 2603025988 9782383381020; 2383381020 9782401077928; 2401077928 9782200624019; 2200624018
92,270801465X; 9782708014657 9782130589846; 2130589847 9782875744166; 287574416X 2915056250; 9782915056259 9782330175856; 233017585X 9782073014771; 2073014771 9782090353846; 2090353848 2600018336; 9782600018333 9782847346268; 2847346260 9791028517656
93,2710115182; 9782710115182 nan 2379313253; 9782379313257 9782381980508; 2381980504 nan 9791032700068 9782365081061; 2365081061 9782803673032; 2803673037 3451218585; 9783451218583 nan
94,9781118011522; 111801152X 9782073014009; 2073014003 9781668011904; 1668011905 nan 9783258081854; 3258081859 9782070752256; 2070752259 nan 2940146667; 9782940146666 9782804101626; 2804101622 9782880491987; 2880491983
95,9782415004590; 2415004596 9782100754373; 2100754378 9782080297914; 2080297910 9791035102869 9782812602535; 2812602538 9782940110728; 2940110727 9782707151339; 2707151335 9782017206262; 2017206261 9782737384370; 2737384370 9782100749386; 2100749382
